Fecha,Bitcoin,Ethereum,Binance Coin,Aave,Solana,Polkadot,Chainlink,Avalanche,Algorand,Polygon
2013-09-05,129.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-06,126.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-07,123.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-08,121.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-09,126.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-10,127.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-11,131.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-12,134.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-13,135.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-14,131.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-15,129.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-16,131.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-17,131.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-18,132.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-19,130.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-20,128.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-21,126.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-22,128.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-23,126.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-24,126.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-25,127.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-26,128.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-27,131.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-28,133.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-29,140.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-30,131.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,132.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-02,132.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-03,123.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04,128.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-05,129.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-06,127.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-07,128.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-08,125.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-09,130.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-10,129.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-11,130.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-12,135.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-13,135.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-14,140.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-15,143.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-16,143.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-17,146.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-18,151.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-19,170.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-20,172.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-21,181.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-22,193.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-23,206.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-24,198.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-25,172.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-26,178.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-27,189.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-28,198.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-29,204.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-30,204.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-31,203.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,205.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-02,206.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-03,212.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-04,226.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-05,230.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-06,260.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-07,295.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-08,332.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-09,358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-10,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-11,340.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-12,355.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-13,404.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-14,408.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-15,424.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-16,437.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-17,488.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-18,580.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-19,614.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-20,565.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-21,675.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-22,731.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-23,819.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-24,764.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-25,793.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-26,832.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-27,914.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-28,979.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-29,1101.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-30,1127.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,1033.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-02,974.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-03,1078.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-04,1121.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-05,989.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-06,1019.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-07,811.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-08,743.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-09,897.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-10,927.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-11,887.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-12,878.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-13,897.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-14,866.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-15,854.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-16,789.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-17,691.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-18,559.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-19,677.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-20,694.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-21,596.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-22,650.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-23,645.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-24,659.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-25,668.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-26,734.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-27,734.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-28,738.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-29,726.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-30,760.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-31,755.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,767.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-02,772.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-03,825.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-04,849.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-05,919.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-06,936.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-07,826.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-08,838.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-09,853.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-10,863.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-11,905.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-12,867.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-13,840.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-14,838.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-15,860.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-16,837.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-17,812.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-18,840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-19,838.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-20,869.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-21,869.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-22,865.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-23,846.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-24,808.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-25,804.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-26,853.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-27,891.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-28,777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-29,816.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-30,817.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-31,817.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,832.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-02,836.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-03,813.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-04,832.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-05,830.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-06,805.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-07,721.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-08,701.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-09,672.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-10,689.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-11,697.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-12,655.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-13,651.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-14,623.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
